model,train_on,test_on,in_domain,macro_f1,minority_f1
BERT,KETOD,KETOD,True,0.7042,0.4993
BERT,KETOD,DSTC9,False,0.3933,0.0204
BERT,KETOD,DSTC11,False,0.3292,0.0614
BERT,DSTC9,KETOD,False,0.4503,0.0978
BERT,DSTC9,DSTC9,True,0.8467,0.7907
BERT,DSTC9,DSTC11,False,0.7307,0.6995
BERT,DSTC11,KETOD,False,0.4704,0.0717
BERT,DSTC11,DSTC9,False,0.6823,0.5931
BERT,DSTC11,DSTC11,True,0.9554,0.9565
